species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,culmen_length_in,culmen_depth_in,flipper_length_in,body_mass_lb
Adelie,Torgersen,39.1,18.7,181.0,3750.0,MALE,1.53937091,0.7362208699999999,7.1259881,8.267325
Adelie,Torgersen,39.5,17.4,186.0,3800.0,FEMALE,1.55511895,0.6850397399999999,7.3228386,8.377556
Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE,1.5866150299999997,0.7086618,7.6771695,7.165015
Adelie,Torgersen,36.7,19.3,193.0,3450.0,FEMALE,1.4448826700000001,0.75984293,7.598429299999999,7.605939
Adelie,Torgersen,39.3,20.6,190.0,3650.0,MALE,1.5472449299999997,0.81102406,7.480319,8.046863
Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE,1.5314968899999999,0.70078778,7.1259881,7.9917475
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE,1.54330792,0.77165396,7.6771695,10.3065985
Adelie,Torgersen,34.1,18.1,193.0,3475.0,,1.3425204099999999,0.71259881,7.598429299999999,7.6610545
Adelie,Torgersen,42.0,20.2,190.0,4250.0,,1.6535442,0.79527602,7.480319,9.369635
Adelie,Torgersen,37.8,17.1,186.0,3300.0,,1.48818978,0.6732287100000001,7.3228386,7.275246
Adelie,Torgersen,37.8,17.3,180.0,3700.0,,1.48818978,0.68110273,7.086618,8.157094
Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE,1.61811111,0.69291376,7.1653582,7.054784
Adelie,Torgersen,38.6,21.2,191.0,3800.0,MALE,1.51968586,0.8346461199999999,7.5196891,8.377556
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE,1.36220546,0.83070911,7.795279799999999,9.700328
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE,1.44094566,0.70078778,7.2834685,8.157094
Adelie,Torgersen,38.7,19.0,195.0,3450.0,FEMALE,1.52362287,0.7480319,7.6771695,7.605939
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE,1.67322925,0.81496107,7.755909699999999,9.92079
